,x,y,label
0,-5.68602895194615,-2.8218799151803218,1
1,-5.670102382663369,-1.9893388726005037,1
2,0.03562767635041875,-0.09829376245870192,0
3,-1.0022081605246955,1.325386516500209,0
4,-1.930399130187181,3.347968644261195,0
5,-4.097265531233755,-1.474179934779734,1
6,-5.190691804188166,-2.8643032377664386,1
7,-4.098000302562139,-2.6604021328559355,1
8,0.9150318112422202,1.442038033526478,0
9,-5.121746477345199,-2.912443707940671,1
10,-1.1521971569877674,1.8191905797531651,0
11,0.6323279840707143,0.14310422492392672,0
12,0.30398948936117764,1.10335366710755,0
13,-5.69051700355186,-2.3734278005375797,1
14,-3.33905407471668,-1.2346301131042667,1
15,-0.7875662062586669,2.7860601481374028,0
16,-1.3579517052377155,1.1302763122654103,0
17,-0.5107408569171612,1.9538745589441706,0
18,-5.266744331452567,-1.4463188069434163,1
19,-6.1161666004618285,-1.7422585758645102,1
